,symbol,name,abbreviation,ts_code,area,industry,list_date
1,399382,1000材料,1000cl,,,,
2,399630,1000成长,1000cz,,,,
3,399390,1000公用,1000gy,,,,
4,399383,1000工业,1000gy,,,,
5,399387,1000金融,1000jr,,,,
6,399631,1000价值,1000jz,,,,
7,399384,1000可选,1000kx,,,,
8,399381,1000能源,1000ny,,,,
9,399385,1000消费,1000xf,,,,
10,399388,1000信息,1000xx,,,,
11,399386,1000医药,1000yy,,,,
12,399645,100低波,100db,,,,
13,399656,100绩效,100jx,,,,
14,sh.000129,180波动,180bd,,,,
15,sh.000028,180成长,180cz,,,,
16,sh.000136,180低贝,180db,,,,
17,sh.000051,180等权,180dq,,,,
18,sh.000123,180动态,180dt,,,,
19,sh.000093,180分层,180fc,,,,
20,sh.000135,180高贝,180gb,,,,
21,sh.000149,180红利,180hl,,,,
22,sh.000053,180基本,180jb,,,,
23,sh.000025,180基建,180jj,,,,
24,sh.000018,180金融,180jr,,,,
25,sh.000029,180价值,180jz,,,,
26,sh.000030,180R成长,180rcz,,,,
27,sh.000031,180R价值,180rjz,,,,
28,sh.000125,180稳定,180wd,,,,
29,sh.000027,180运输,180ys,,,,
30,sh.000021,180治理,180zl,,,,
31,sh.000026,180资源,180zy,,,,
32,BK0713,2025规划,2025gh,,,,
33,sh.000803,300波动,300bd,,,,
34,sh.000909,300材料,300cl,,,,
35,399909,沪深300原材料指数,300cl,,,,
36,399918,沪深300成长指数,300cz,,,,
37,sh.000918,300成长,300cz,,,,
38,sh.000829,300低贝,300db,,,,
39,399952,沪深300地产指数,300dc,,,,
40,sh.000952,300地产,300dc,,,,
41,sh.000984,300等权,300dq,,,,
42,sh.000843,300动态,300dt,,,,
43,sh.000916,300电信,300dx,,,,
44,399916,沪深300电信业务指数,300dx,,,,
45,sh.000981,300分层,300fc,,,,
46,399981,沪深300行业分层等权重指数,300fc,,,,
47,sh.000849,沪深300非银行金融指数,300fy,,,,
48,399969,沪深300非周期行业指数,300fz,,,,
49,sh.000969,300非周,300fz,,,,
50,sh.000828,300高贝,300gb,,,,
51,sh.000917,300公用,300gy,,,,
52,399917,沪深300公用事业指数,300gy,,,,
53,399910,沪深300工业指数,300gy,,,,
54,sh.000910,300工业,300gy,,,,
55,sh.000821,300红利,300hl,,,,
56,sh.000972,300沪市,300hs,,,,
57,sh.000950,300基建,300jj,,,,
58,399950,沪深300基建主题指数,300jj,,,,
59,399914,沪深300金融地产指数,300jr,,,,
60,sh.000914,300金融,300jr,,,,
61,399657,300绩效,300jx,,,,
62,sh.000919,300价值,300jz,,,,
63,399919,沪深300价值指数,300jz,,,,
64,399911,沪深300可选消费指数,300kx,,,,
65,sh.000911,300可选,300kx,,,,
66,sh.000908,300能源,300ny,,,,
67,399908,沪深300能源指数,300ny,,,,
68,sh.000920,300R成长,300rcz,,,,
69,399920,沪深300相对成长指数,300rcz,,,,
70,sh.000921,300R价值,300rjz,,,,
71,399972,300深市,300ss,,,,
72,sh.000844,300稳定,300wd,,,,
73,399912,沪深300主要消费指数,300xf,,,,
74,sh.000912,300消费,300xf,,,,
75,sh.000915,300信息,300xx,,,,
76,399915,沪深300信息技术指数,300xx,,,,
77,sh.000951,300银行,300yh,,,,
78,399951,沪深300银行指数,300yh,,,,
79,399957,沪深300运输指数,300ys,,,,
80,sh.000850,沪深300有色金属指数,300ys,,,,
81,sh.000957,300运输,300ys,,,,
82,sh.000913,300医药,300yy,,,,
83,399913,沪深300医药卫生指数,300yy,,,,
84,sh.000968,300周期,300zq,,,,
85,399968,沪深300周期行业指数,300zq,,,,
86,sh.000130,380波动,380bd,,,,
87,sh.000105,380材料,380cl,,,,
88,sh.000117,380成长,380cz,,,,
89,sh.000138,380低贝,380db,,,,
90,sh.000115,380等权,380dq,,,,
91,sh.000141,380动态,380dt,,,,
92,sh.000112,380电信,380dx,,,,
93,sh.000137,380高贝,380gb,,,,
94,sh.000106,380工业,380gy,,,,
95,sh.000113,380公用,380gy,,,,
96,sh.000150,380红利,380hl,,,,
97,sh.000128,380基本,380jb,,,,
98,sh.000110,380金融,380jr,,,,
99,sh.000118,380价值,380jz,,,,
100,sh.000107,380可选,380kx,,,,
101,sh.000104,380能源,380ny,,,,
102,sh.000119,380R成长,380rcz,,,,
103,sh.000120,380R价值,380rjz,,,,
104,sh.000142,380稳定,380wd,,,,
105,sh.000108,380消费,380xf,,,,
106,sh.000111,380信息,380xx,,,,
107,sh.000109,380医药,380yy,,,,
108,BK0881,3D玻璃,3dbl,,,,
109,BK0619,3D打印,3ddy,,,,
110,BK0901,3D摄像头,3dsxt,,,,
111,sh.000804,500波动,500bd,,,,
112,sh.000831,500低贝,500db,,,,
113,399982,中证500等权重指数,500dq,,,,
114,sh.000982,500等权,500dq,,,,
115,sh.000830,500高贝,500gb,,,,
116,sh.000856,500工业,500gy,,,,
117,sh.000822,500红利,500hl,,,,
118,sh.000802,500沪市,500hs,,,,
119,399802,500深市,500ss,,,,
120,sh.000858,500信息,500xx,,,,
121,sh.000854,500原料,500yl,,,,
122,sh.000857,500医药,500yy,,,,
123,sh.000050,50等权,50dq,,,,
124,sh.000052,50基本,50jb,,,,
125,BK0714,5G概念,5ggn,,,,
126,sh.000101,5年信用,5nxy,,,,
127,BK0964,6G概念,6ggn,,,,
128,399628,700成长,700cz,,,,
129,399629,700价值,700jz,,,,
130,399965,800地产,800dc,,,,
131,sh.000842,800等权,800dq,,,,
132,399966,800非银,800fy,,,,
133,sh.000974,中证800金融指数,800jr,,,,
134,sh.000823,中证800有色金属指数,800ys,,,,
135,sh.000841,800医药,800yy,,,,
136,603580,艾艾精工,aajg,603580.SH,上海,塑料,20170525
137,BK0498,AB股,abg,,,,
138,301259,艾布鲁,abl,301259.SZ,湖南,环境保护,20220426
139,688393,安必平,abp,688393.SH,广东,医疗保健,20200820
140,300389,艾比森,abs,300389.SZ,深圳,半导体,20140801
141,688168,安博通,abt,688168.SH,北京,软件服务,20190906
142,688050,爱博医疗,abyl,688050.SH,北京,医疗保健,20200729
143,688322,奥比中光-UW,abzg,688322.SH,深圳,元器件,20220707
144,600207,安彩高科,acgk,600207.SH,河南,电气设备,19990714
145,300572,安车检测,acjc,300572.SZ,深圳,电器仪表,20161206
146,603638,艾迪精密,adjm,603638.SH,山东,专用机械,20170120
147,605198,安德利,adl,605198.SH,山东,软饮料,20200918
148,000553,安道麦A,adma,000553.SZ,湖北,农药化肥,19931203
149,600299,安迪苏,ads,600299.SH,北京,饲料,20000420
150,300685,艾德生物,adsw,300685.SZ,福建,医疗保健,20170802
151,832491,奥迪威,adw,832491.BJ,,,20220614
152,300719,安达维尔,adwe,300719.SZ,北京,航空,20171109
153,688488,艾迪药业,adyy,688488.SH,江苏,生物制药,20200720
154,688125,安达智能,adzn,688125.SH,广东,专用机械,20220415
155,300825,阿尔特,aet,300825.SZ,北京,汽车服务,20200327
156,300015,爱尔眼科,aeyk,300015.SZ,湖南,医疗保健,20091030
157,399693,安防产业,afcy,,,,
158,688021,奥福环保,afhb,688021.SH,山东,环境保护,20191106
159,603031,安孚科技,afkj,603031.SH,安徽,超市连锁,20160822
160,300738,奥飞数据,afsj,300738.SZ,广东,电信运营,20180119
161,688165,埃夫特-U,aft,688165.SH,安徽,专用机械,20200715
162,002292,奥飞娱乐,afyl,002292.SZ,广东,影视音像,20090910
163,000898,鞍钢股份,aggf,000898.SZ,辽宁,普钢,19971225
164,sh.000002,A股指数,agzs,,,,
165,sh.000805,A股资源,agzy,,,,
166,BK0149,安徽板块,ahbk,,,,
167,605058,澳弘电子,ahdz,605058.SH,江苏,元器件,20201021
